start_date,current_date,starting_pop,current_pop,female_pop_pct,male_pop_pct,sick,recovered,uninfected,dead,vacinated,wasted_vaccine,mortality_rate,infection_rate,teacher_sick_rate,hospital_worker_sick_rate,frontline_worker_sick_rate
2021-01-01,2021-01-01,2000,2000,0.5055,0.49450000000000005,84,16,1900,0,0,0,0.0,0.05,0.03225806451612903,0.0,0.02112676056338028
2021-01-01,2021-01-02,2000,2000,0.5055,0.49450000000000005,84,18,1898,0,0,0,0.0,0.051,0.03225806451612903,0.0,0.02112676056338028
2021-01-01,2021-01-03,2000,2000,0.5055,0.49450000000000005,82,21,1897,0,0,0,0.0,0.0515,0.03225806451612903,0.0,0.028169014084507043
2021-01-01,2021-01-04,2000,2000,0.5055,0.49450000000000005,79,26,1895,0,0,0,0.0,0.0525,0.043010752688172046,0.0,0.035211267605633804
2021-01-01,2021-01-05,2000,2000,0.5055,0.49450000000000005,78,31,1891,0,0,0,0.0,0.0545,0.043010752688172046,0.0,0.035211267605633804
2021-01-01,2021-01-06,2000,2000,0.5055,0.49450000000000005,73,36,1891,0,0,0,0.0,0.0545,0.043010752688172046,0.0,0.035211267605633804
2021-01-01,2021-01-07,2000,2000,0.5055,0.49450000000000005,70,41,1889,0,0,0,0.0,0.0555,0.043010752688172046,0.0,0.035211267605633804
2021-01-01,2021-01-08,2000,2000,0.5055,0.49450000000000005,67,48,1885,0,0,0,0.0,0.0575,0.043010752688172046,0.0,0.035211267605633804
2021-01-01,2021-01-09,2000,2000,0.5055,0.49450000000000005,67,50,1883,0,0,0,0.0,0.0585,0.053763440860215055,0.0,0.035211267605633804
2021-01-01,2021-01-10,2000,2000,0.5055,0.49450000000000005,67,51,1882,0,0,0,0.0,0.059,0.053763440860215055,0.0,0.035211267605633804
2021-01-01,2021-01-11,2000,2000,0.5055,0.49450000000000005,66,54,1880,0,0,0,0.0,0.06,0.053763440860215055,0.0,0.035211267605633804
2021-01-01,2021-01-12,2000,2000,0.5055,0.49450000000000005,60,61,1879,0,0,0,0.0,0.0605,0.053763440860215055,0.0,0.035211267605633804
2021-01-01,2021-01-13,2000,2000,0.5055,0.49450000000000005,59,64,1877,0,0,0,0.0,0.0615,0.06451612903225806,0.0,0.035211267605633804
2021-01-01,2021-01-14,2000,2000,0.5055,0.49450000000000005,59,66,1875,0,0,0,0.0,0.0625,0.06451612903225806,0.0,0.035211267605633804
2021-01-01,2021-01-15,2000,2000,0.5055,0.49450000000000005,56,71,1873,0,0,0,0.0,0.0635,0.07526881720430108,0.0,0.035211267605633804
2021-01-01,2021-01-16,2000,2000,0.5055,0.49450000000000005,56,73,1871,0,0,0,0.0,0.0645,0.07526881720430108,0.0,0.035211267605633804
2021-01-01,2021-01-17,2000,2000,0.5055,0.49450000000000005,55,76,1869,0,200,15,0.0,0.0655,0.07526881720430108,0.0,0.035211267605633804
2021-01-01,2021-01-18,2000,2000,0.5055,0.49450000000000005,56,77,1867,0,200,15,0.0,0.0665,0.07526881720430108,0.0,0.035211267605633804
